Identity	name	area	isIrrigated	unutilisedGrazableDM	CFixed	surfaceResidueC	subsurfaceResidueC	urineCCropClass	manureFOMCsurface	faecalCCropClass	storageProcessingCLoss	fertiliserC	harvestedC	harvestedDM	burntResidueC	residueCtoNextCrop	unutilisedGrazableC	NyieldMax	maxCropNuptake	cropNuptake	mineralNavailable	soilNMineralisation	Nfixed	nAtm	fertiliserNinput	totalManureNApplied	urineNCropClass	faecalNCropClass	mineralNFromLastCrop	surfaceResidueN	subsurfaceResidueN	excretaNInput	manureNH3emission	fertiliserNH3emission	urineNH3emission	harvestedN	storageProcessingNLoss	manureN2OEmission	soilN2OEmission	fertiliserN2OEmission	Placeholder	burningN2ON	N2Nemission	burningNH3N	burningNOxN	burningOtherN	N2ONemission	nitrateLeaching	mineralNToNextCrop	Precipitation	Irrigation	Drainage	surfaceResidueDM	startday 	startmonth 	startyear 	endday 	endmonth 	endyear 	storageProcessingDMLoss	storageProcessingCLoss	storageProcessingNLoss	unutilisedGrazableN	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	CropSeq	duration	residueCfromLastCrop	soilCO2_CEmission	CdeltaSoil	deltaSoilN	residueNfromLastCrop	grazedN	residueNtoNextCrop	StartDay
-	-	ha	-	kg/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgDM/ha	kgC/ha	kgC/ha	kg/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha		kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	mm	mm	mm	kg/ha	day	month	year	day	month	year	kg DM/ha	kg C/ha	kg N/ha	kgN/ha	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	-	days	kgC/ha	kgC/ha	kgC/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	JulianDay
29	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.3131	66.8497	0	10	0	0	0	0	26.8984	0	0	0	0	0	0	0	0	0	0.7685	0	0	0	1.3833	0	0	0	0.7685	75.2832	26.3131	754.8065	0	364.2635	0	16	11	30	15	11	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	802.1962	-4005617.667	-66.8497	0	0	0	10905
30	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.7435	65.2912	0	10	0	0	0	0	26.3131	0	0	0	0	0	0	0	0	0	0.7529	0	0	0	1.3552	0	0	0	0.7529	73.7527	25.7435	754.8065	0	364.4415	0	16	11	31	15	11	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	783.4942	-4083967.0864	-65.2912	0	0	0	11270
31	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.1891	63.7702	0	10	0	0	0	0	25.7435	0	0	0	0	0	0	0	0	0	0.7377	0	0	0	1.3279	0	0	0	0.7377	72.259	25.1891	754.8065	0	364.6149	0	16	11	32	15	11	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	765.2419	-4160491.2721	-63.7702	0	0	0	11635
32	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.6495	62.2857	0	10	0	0	0	0	25.1891	0	0	0	0	0	0	0	0	0	0.7229	0	0	0	1.3011	0	0	0	0.7229	70.8013	24.6495	754.8065	0	364.7839	0	16	11	33	15	11	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	747.4284	-4235234.1154	-62.2857	0	0	0	12000
33	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.1242	60.8369	0	10	0	0	0	0	24.6495	0	0	0	0	0	0	0	0	0	0.7084	0	0	0	1.2751	0	0	0	0.7084	69.3788	24.1242	754.8065	0	364.9485	0	16	11	34	15	11	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	730.0434	-4308238.4545	-60.8369	0	0	0	12365
34	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6129	59.423	0	10	0	0	0	0	24.1242	0	0	0	0	0	0	0	0	0	0.6942	0	0	0	1.2496	0	0	0	0.6942	67.9905	23.6129	754.8065	0	365.109	0	16	11	35	15	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	713.0764	-4379546.0995	-59.423	0	0	0	12730
35	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.1151	58.0431	0	10	0	0	0	0	23.6129	0	0	0	0	0	0	0	0	0	0.6804	0	0	0	1.2248	0	0	0	0.6804	66.6357	23.1151	754.8065	0	365.2653	0	16	11	36	15	11	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	696.5176	-4449197.8571	-58.0431	0	0	0	13095
36	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.6305	56.6964	0	10	0	0	0	0	23.1151	0	0	0	0	0	0	0	0	0	0.667	0	0	0	1.2005	0	0	0	0.667	65.3135	22.6305	754.8065	0	365.4177	0	16	11	37	15	11	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	680.357	-4517233.5546	-56.6964	0	0	0	13460
37	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.1586	55.3821	0	10	0	0	0	0	22.6305	0	0	0	0	0	0	0	0	0	0.6538	0	0	0	1.1769	0	0	0	0.6538	64.0233	22.1586	754.8065	0	365.5662	0	16	11	38	15	11	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	664.5851	-4583692.0632	-55.3821	0	0	0	13825
38	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.6992	54.0994	0	10	0	0	0	0	22.1586	0	0	0	0	0	0	0	0	0	0.641	0	0	0	1.1538	0	0	0	0.641	62.7641	21.6992	754.8065	0	365.7109	0	16	11	39	15	11	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	649.1926	-4648611.3209	-54.0994	0	0	0	14190
