Identity	name	area	isIrrigated	unutilisedGrazableDM	CFixed	surfaceResidueC	subsurfaceResidueC	urineCCropClass	manureFOMCsurface	faecalCCropClass	storageProcessingCLoss	fertiliserC	harvestedC	harvestedDM	burntResidueC	residueCtoNextCrop	unutilisedGrazableC	NyieldMax	maxCropNuptake	cropNuptake	mineralNavailable	soilNMineralisation	Nfixed	nAtm	fertiliserNinput	totalManureNApplied	urineNCropClass	faecalNCropClass	mineralNFromLastCrop	surfaceResidueN	subsurfaceResidueN	excretaNInput	manureNH3emission	fertiliserNH3emission	urineNH3emission	harvestedN	storageProcessingNLoss	manureN2OEmission	soilN2OEmission	fertiliserN2OEmission	Placeholder	burningN2ON	N2Nemission	burningNH3N	burningNOxN	burningOtherN	N2ONemission	nitrateLeaching	mineralNToNextCrop	Precipitation	Irrigation	Drainage	surfaceResidueDM	startday 	startmonth 	startyear 	endday 	endmonth 	endyear 	storageProcessingDMLoss	storageProcessingCLoss	storageProcessingNLoss	unutilisedGrazableN	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	CropSeq	duration	residueCfromLastCrop	soilCO2_CEmission	CdeltaSoil	deltaSoilN	residueNfromLastCrop	grazedN	residueNtoNextCrop	StartDay
-	-	ha	-	kg/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgDM/ha	kgC/ha	kgC/ha	kg/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha		kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	mm	mm	mm	kg/ha	day	month	year	day	month	year	kg DM/ha	kg C/ha	kg N/ha	kgN/ha	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	-	days	kgC/ha	kgC/ha	kgC/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	JulianDay
30	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0464	7.6171	0	10	0	0	0	0	5.0863	0	0	0	0	0	0	0	0	0	0.1762	0	0	0	0.3171	0	0	0	0.1762	17.1637	5.0464	754.8065	0	371.0268	0	16	11	31	15	11	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	91.4047	-381188.9424	-7.6171	0	0	0	11270
31	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0074	7.4839	0	10	0	0	0	0	5.0464	0	0	0	0	0	0	0	0	0	0.1748	0	0	0	0.3147	0	0	0	0.1748	17.0333	5.0074	754.8065	0	371.0451	0	16	11	32	15	11	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	89.807	-390169.6389	-7.4839	0	0	0	11635
32	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9694	7.354	0	10	0	0	0	0	5.0074	0	0	0	0	0	0	0	0	0	0.1735	0	0	0	0.3124	0	0	0	0.1735	16.9061	4.9694	754.8065	0	371.0631	0	16	11	33	15	11	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	88.2476	-398994.4033	-7.354	0	0	0	12000
33	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9323	7.2271	0	10	0	0	0	0	4.9694	0	0	0	0	0	0	0	0	0	0.1723	0	0	0	0.3101	0	0	0	0.1723	16.7819	4.9323	754.8065	0	371.0807	0	16	11	34	15	11	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	86.7258	-407666.9805	-7.2271	0	0	0	12365
34	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8962	7.1034	0	10	0	0	0	0	4.9323	0	0	0	0	0	0	0	0	0	0.171	0	0	0	0.3079	0	0	0	0.171	16.6607	4.8962	754.8065	0	371.098	0	16	11	35	15	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	85.2404	-416191.0249	-7.1034	0	0	0	12730
35	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8609	6.9826	0	10	0	0	0	0	4.8962	0	0	0	0	0	0	0	0	0	0.1698	0	0	0	0.3057	0	0	0	0.1698	16.5424	4.8609	754.8065	0	371.1151	0	16	11	36	15	11	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	83.7908	-424570.1027	-6.9826	0	0	0	13095
36	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8264	6.8647	0	10	0	0	0	0	4.8609	0	0	0	0	0	0	0	0	0	0.1686	0	0	0	0.3036	0	0	0	0.1686	16.4269	4.8264	754.8065	0	371.1318	0	16	11	37	15	11	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	82.3759	-432807.6942	-6.8647	0	0	0	13460
37	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7928	6.7496	0	10	0	0	0	0	4.8264	0	0	0	0	0	0	0	0	0	0.1675	0	0	0	0.3015	0	0	0	0.1675	16.3142	4.7928	754.8065	0	371.1482	0	16	11	38	15	11	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	80.995	-440907.1956	-6.7496	0	0	0	13825
38	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7599	6.6373	0	10	0	0	0	0	4.7928	0	0	0	0	0	0	0	0	0	0.1664	0	0	0	0.2995	0	0	0	0.1664	16.2042	4.7599	754.8065	0	371.1644	0	16	11	39	15	11	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	79.6473	-448871.9211	-6.6373	0	0	0	14190
39	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7279	6.5277	0	10	0	0	0	0	4.7599	0	0	0	0	0	0	0	0	0	0.1653	0	0	0	0.2975	0	0	0	0.1653	16.0969	4.7279	754.8065	0	371.1803	0	16	11	40	15	11	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	78.3318	-456705.105	-6.5277	0	0	0	14555
