CropSeqID	startDay	endDay	FOMCStoredStart	HUMCStoredStart	ROMCStoredStart	BiocharCStoredStart	FOMnStoredStart	HUMnStoredStart	ROMnStoredStart	FOMC_InputThisCrop	HUMC_InputThisCrop	BiocharC_InputThisCrop	CO2Emission	balance	FOMCStoredEnd	HUMCStoredEnd	ROMCStoredEnd	BiocharCStoredEnd	SoilOrganicCarbon	FOMnStoredEnd	HUMnStoredEnd	ROMnStoredEnd	Total_soil_N	FOMNInput	HUMNInput	Nmin	Org_N_leached	NStart	Nend	FOMnmineralised
CropSeqID	day	day	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgN/ha	MgN/ha	MgN/ha	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgN/ha	MgN/ha	MgN/ha	MgN/ha	MgN/ha/period	MgN/ha/period	MgN/ha/period	MgN/ha/period	MgN/ha	MgN/ha	MgN/ha/period
1	-20485	-20121	6460.46311803797	70545.6942483439	79543.2300250011	0	490.328984518973	5878.80785402866	6628.60250208343	6599.99999999998	0	0	6735.41407118327	-5.82076609134674E-11	6460.46311803797	70405.9533247403	79547.5568774214	0	156413.9733202	490.328984518973	5867.16277706169	6628.96307311845	12986.4548346991	440.000000000003	0	451.284505931941	0	12997.7393406311	12986.4548346991	440
1	-20120	-19756	6460.46311803797	70405.9533247403	79547.5568774214	0	490.328984518973	5867.16277706169	6628.96307311845	6599.99999999998	0	0	6733.05967599023	1.16415321826935E-10	6460.46311803797	70268.6128082307	79551.8377179407	0	156280.913644209	490.328984518973	5855.71773401922	6629.31980982839	12975.3665283666	440.000000000003	0	451.088306332533	0	12986.4548346991	12975.3665283666	440
1	-19755	-19391	6460.46311803797	70268.6128082307	79551.8377179407	0	490.328984518973	5855.71773401922	6629.31980982839	6599.99999999998	0	0	6730.74570943117	2.91038304567337E-11	6460.46311803797	70133.6314867684	79556.0733299717	0	156150.167934778	490.328984518973	5844.46929056404	6629.67277749765	12964.4710525807	440.000000000003	0	450.895475785939	0	12975.3665283666	12964.4710525807	440
1	-19390	-19026	6460.46311803797	70133.6314867684	79556.0733299717	0	490.328984518973	5844.46929056404	6629.67277749765	6599.99999999998	0	0	6728.47147795565	1.16415321826935E-10	6460.46311803797	70000.9688552954	79560.264483489	0	156021.696456822	490.328984518973	5833.41407127462	6630.02204029075	12953.7650960843	440.000000000003	0	450.705956496318	0	12964.4710525807	12953.7650960843	440
1	-19025	-18661	6460.46311803797	70000.9688552954	79560.264483489	0	490.328984518973	5833.41407127462	6630.02204029075	6599.99999999998	0	0	6726.23629989579	0	6460.46311803797	69870.5851036289	79564.4119352596	0	155895.460156927	490.328984518973	5822.54875863574	6630.36766127163	12943.2454044264	440.000000000003	0	450.519691657986	0	12953.7650960843	12943.2454044264	440
1	-18660	-18296	6460.46311803797	69870.5851036289	79564.4119352596	0	490.328984518973	5822.54875863574	6630.36766127163	6599.99999999998	0	0	6724.03950526305	2.91038304567337E-11	6460.46311803797	69742.4411045564	79568.516429069	0	155771.420651663	490.328984518973	5811.87009204637	6630.70970242242	12932.9087789878	440.000000000003	0	450.336625438595	0	12943.2454044264	12932.9087789878	440
1	-18295	-17931	6460.46311803797	69742.4411045564	79568.516429069	0	490.328984518973	5811.87009204637	6630.70970242242	6599.99999999998	0	0	6721.88043554841	1.74622982740402E-10	6460.46311803797	69616.4984021329	79572.5786959439	0	155649.540216115	490.328984518973	5801.37486684441	6631.04822466199	12922.7520760254	440.000000000003	0	450.156702962389	0	12932.9087789878	12922.7520760254	440
1	-17930	-17566	6460.46311803797	69616.4984021329	79572.5786959439	0	490.328984518973	5801.37486684441	6631.04822466199	6599.99999999998	0	0	6719.75844352656	1.45519152283669E-10	6460.46311803797	69492.7192001795	79576.5994543706	0	155529.781772588	490.328984518973	5791.05993334829	6631.38328786422	12912.7722057315	440.000000000003	0	449.979870293893	0	12922.7520760254	12912.7722057315	440
1	-17565	-17201	6460.46311803797	69492.7192001795	79576.5994543706	0	490.328984518973	5791.05993334829	6631.38328786422	6599.99999999998	0	0	6717.67289306224	8.73114913702011E-11	6460.46311803797	69371.0663509777	79580.57941051	0	155412.108879526	490.328984518973	5780.92219591481	6631.71495087583	12902.9661313096	440.000000000003	0	449.806074421867	0	12912.7722057315	12902.9661313096	440
1	-17200	-16836	6460.46311803797	69371.0663509777	79580.57941051	0	490.328984518973	5780.92219591481	6631.71495087583	6599.99999999998	0	0	6715.62315892114	8.73114913702011E-11	6460.46311803797	69251.5033441575	79584.519258409	0	155296.485720604	490.328984518973	5770.95861201312	6632.04327153408	12893.3308680662	440.000000000003	0	449.635263243439	0	12902.9661313096	12893.3308680662	440
